"prok1" "prok2" "prok3" "prok4" "prok5" "prok6" "prok7" "prok8" "prok9" "prok10" "nr1" "nr2" "nr3" "nr4" "nr5" "nr6" "lz" "extra" "vertr" "gewis" "neuro" "intel" "nerd" "grund" "fach" "ziel" "lerntyp" "geschl" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4"
"6" 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 NA 2 4 1 2 2 2 1 3 1 0 0 0
"7" 2 2 3 2 2 2 3 3 2 1 1 1 1 2 2 1 5.2 2.25 4 3.75 2.5 3.5 3 NA 4 3 3 1 1 2 2 3 0 0 0 0
"8" 2 3 4 2 4 3 4 4 3 1 3 3 3 5 5 5 7 4.75 4 4.5 3 4 2.33333333333333 "123" 5 1 1 1 1 1 1 1 0 0 0 0
"11" 3 2 3 NA 3 1 2 3 2 2 4 4 2 2 2 2 4.8 3.5 4.25 4 2.5 3 2.16666666666667 "Arbeit mit Menschen" 5 2 3 1 1 1 1 1 1 1 1 1
"29" 1 4 3 2 4 2 4 3 2 2 4 4 3 5 4 5 6 3.75 4.25 4.75 2.75 4.75 2.83333333333333 NA NA NA NA NA NA NA NA NA 0 0 0 0
"37" 1 3 4 3 4 3 3 2 2 2 2 4 1 5 4 3 3.6 1.25 3.75 4.75 2.5 4.25 4 "Beruf der Eltern " 4 2 1 1 NA 2 1 2 0 1 0 0
"39" 3 3 3 4 3 3 2 3 4 3 2 4 1 3 2 2 5.6 2.5 3.5 4.25 3.25 3.75 3.5 "Interesse" 5 3 3 1 1 2 1 2 0 1 0 0
"41" 2 4 3 1 4 2 3 3 3 3 4 4 3 4 3 4 NA 3 4.25 4 1.5 4.25 3.5 "Menschen verstehen und ihr Leben besser machen können" 5 1 1 2 1 2 1 3 0 0 0 0
"48" 4 3 1 4 2 4 3 3 4 4 4 3 5 5 5 5 4 2.25 4.5 2.75 5 3.75 4.33333333333333 "schon seit langem großes Interesse" 5 4 1 3 2 2 1 1 1 1 0 1
"49" 1 3 3 1 4 1 4 4 1 2 1 3 2 5 3 3 5.8 4 4.25 4.5 2.25 4 3 "Ein Psychotherapeut hat mich auf seinen Beruf aufmerksam gemacht. Durch ein Praktikum konnte ich bereits Einblicke in dieses Berufsfeld gewinnen. " 4 2 3 1 1 1 1 4 0 1 0 0
"52" 1 4 4 1 4 1 4 4 1 1 1 1 1 4 4 1 6.6 4.5 4.25 5 2 5 3.5 "Interesse" 1 3 1 1 1 1 2 1 0 1 0 0
"53" 2 3 2 3 4 2 3 4 2 3 1 3 2 3 3 3 4 3 4 4.5 4.75 2.25 3.5 "Aus Interesse für die Psyche des Menschen " 4 2 1 1 2 1 2 1 0 1 0 0
"55" 3 3 2 2 3 1 3 3 2 1 5 4 NA 2 4 2 5.4 3 4.5 4 4 3 2.83333333333333 NA 3 4 3 1 1 1 1 1 0 1 0 0
"56" 3 2 2 3 2 2 2 2 2 2 1 2 2 4 2 2 4.8 3.75 3.75 3.5 3.25 3 2.33333333333333 "finde interessant wieso Menschen so handeln und nicht anders" 3 4 3 1 2 2 1 2 0 1 0 0
"58" 3 2 3 4 3 3 2 3 4 2 1 4 1 3 3 2 4.4 3 5 3.5 2 3 2.16666666666667 "gute Ausbildung im empirischen Arbeiten" NA NA NA NA NA NA NA NA 0 0 0 0
"59" 4 3 3 NA 4 2 3 3 4 3 4 4 5 5 5 5 7 4 5 4 3.25 4 2.33333333333333 "Ich mag es nach Gründen für Reaktionen zu suchen." 4 2 3 1 1 2 1 2 0 1 0 1
"60" 2 4 3 2 3 3 3 4 2 3 4 4 3 2 4 2 4.4 3 3.75 4.5 3.5 3.25 3.16666666666667 "Sie ist interdisziplinär und omnipräsent." 3 4 1 1 1 1 1 2 0 1 0 0
"61" 2 3 2 2 3 1 3 4 3 3 5 5 4 5 5 4 5 3.5 4.5 3.5 2.75 4 4.16666666666667 "Interesse an der Sportpsychologie" 3 3 3 2 1 1 2 3 0 1 1 0
"62" 3 1 3 3 2 3 2 3 2 2 2 4 1 2 1 2 5.2 2.25 3.75 4 3 3.75 2.83333333333333 "Vereinigt viele Wissenschaften" 2 2 1 1 2 1 2 1 0 1 0 0
"64" 2 2 1 2 3 3 3 3 3 4 3 4 2 5 3 4 4.6 3.75 4.75 3.5 4.5 3.75 1.66666666666667 "um Menschen zu helfen, mehr über die Psyche zu lernen" 4 2 3 1 2 1 2 NA 0 1 1 1
"65" 2 3 4 2 3 1 4 3 2 2 2 4 3 3 4 4 6 2.25 3.5 4.25 3.5 4.75 3.33333333333333 "Interesse am Individuum" 1 3 1 1 2 2 1 2 0 1 0 0
"67" 2 3 4 2 3 1 4 3 1 2 5 3 3 2 5 4 6.8 1.5 4.5 4.75 3 4.75 4.33333333333333 "Nötig für Promotion. " 5 3 1 2 1 2 1 4 0 0 0 0
"68" 3 2 1 3 2 1 3 4 2 1 4 4 3 3 3 4 5.8 2.75 4.25 4 3.25 3.25 3.33333333333333 "Berufschancen, Interesse, guter NC" 3 1 3 2 2 2 1 2 0 1 0 0
"69" 2 3 2 2 3 3 3 4 2 3 3 4 3 4 4 1 4.4 2.5 4.75 4.25 4 3.75 4.16666666666667 "Um anderen zu helfen" 4 2 1 1 2 1 1 2 0 1 0 0
"70" 1 3 3 2 4 1 3 3 4 1 4 5 3 5 5 4 5 2.25 4 4.75 3.5 4.5 4.33333333333333 "Interesse, Menschen helfen, anderen Menschen das Thema näherbringen" 5 2 3 2 1 2 1 2 0 1 0 0
"71" 3 1 2 2 3 4 2 3 3 1 2 3 4 1 2 1 3.8 3.75 3.75 3.75 5 3 1.83333333333333 "Ziel als Therapeutin zu arbeiten" 4 2 1 1 1 2 1 4 0 1 0 0
"72" 2 3 2 2 3 3 3 2 2 2 2 4 3 3 3 2 NA 3.25 3 3.75 3 3.25 3.33333333333333 "interessante Forschungsbereiche" 2 2 2 1 1 1 1 4 1 1 0 0
"73" 3 2 1 3 3 3 2 3 3 3 2 2 2 3 2 2 3.6 2.75 3.5 3.25 3.75 2.75 2 "Interesse am Menschen" 4 2 3 1 1 1 1 2 0 1 0 0
